1287	129-0087781-002-4	00822553	P	11
1290	12900710540002	00771680	P	1471
1299	129-0014934-000-8	00706022	L	1236
1305	12900124450103	00702649	L	1248
1321	12900101320006	00698267	L	1242
1327	12900454210275	00916186	L	1241
1329	12900077280002	00693977	P	168
1330	12900182510004	00710294	L	992
1339	129-0003402-004-6	00686475	P	1271
1365	12900104060088	00961562	L	922
1382	12900165140019	00708013	L	975
1385	12901014600005	00907389	P	1252
1394	12900182510004	00710294	L	973
1398	12900271350007	00720494	L	1139
1399	12900167370010	00912031	L	1262
1405	12900089170191	00888021	L	1003
1408	12900555810163	01012598	L	1257
1408	12900555810023	01012584	L	1257
1410	12900678330008	00767776	P	1261
1418	12900074860004	00693599	P	1420
1428	12900174720009	00709415	P	1268
1434	129-0045421-034-1	00916193	L	847
1436	129-0003542-019-5	01000537	P	976
1442	129-0016910-000-1	00708659	L	719
1448	12900355350006	00729752	P	1279
1451	129-0063708-002-5	00760732	P	745
1454	129-0001998-004-0	00684248	L	785
1467	129-0045421-029-1	00916188	L	870
1492	12900103030108	00699067	L	1080
1494	129-0087781-013-1	00822564	P	10
1502	129-0002586-000-4	00685282	P	1924
1523	12900338940006	00727983	P	1330
1524	129-0001554-000-4	00683663	P	720
1528	129-0007454-000-2	00693561	L	73
1539	12900150760086	01001822	L	106
1543	12900100810007	00698194	L	1349
1548	12900102700123	00698825	L	1342
1563	12900136360001	00704509	L	1656
1571	129-0008637-006-7	00695641	P	824
1574	129-0000392-000-2	00681517	L	1357
1582	12900035420104	01000528	L	1350
1584	129-0022465-188-1	00886450	L	667
1606	12900559040049	00751982	L	1214
1610	12900167390059	00708422	P	1379
1621	12901089341238	00968202	L	1364
1636	12900068260005	00692713	P	995
1638	12900375080005	00732196	P	1281
1657	12900168760888	00961689	L	1369
1657	12916876276	00961628	L	1369
1660	12900068260005	00692713	P	1094
1680	12900098350081	00885245	L	1377
1692	12900355320009	00729749	P	1391
1693	12900888100084	00826889	L	1477
1695	129-0026886-008-3	00900765	L	786
1698	12901038870006	00929362	P	1385
1699	129-0028843-004-0	00895374	L	22
1706	12900122700418	00986134	L	1131
1717	12900122700129	00986105	L	1393
1730	129-0008811-020-6	00918464	P	739
1731	12900028710040	00922036	L	1390
1734	12900306070117	00843602	P	1012
1743	129-0008900-011-7	00938329	L	1396
1744	12900005970062	00681823	L	1697
1752	12900089000133	00938331	L	567
1762	129-0013572-000-7	00704390	L	706
1765	12900020130213	00832238	P	1399
1780	129-0071811-000-6	00772791	P	741
1781	12900169920002	00708833	L	1027
1785	129-0013884-000-0	00704800	P	1914
1793	12900409560113	01017000	L	1046
1794	12900101710636	00998721	L	1406
1798	12900306070075	00843598	P	29
1803	12900134200068	01010897	P	955
1808	12900321210045	00906455	L	1669
1825	12900142190061	01021971	P	743
1827	129-0010198-034-6	00698546	L	633
1838	12900371130184	00866076	L	1030
1839	129-0012701-003-7	00987740	P	889
1853	12900210490039	00713845	L	1695
1855	12900098350107	00885247	P	1425
1856	12900216330007	00714552	L	1423
1865	12900699480246	00770558	L	1440
1869	129-0013979-003-0	00704924	P	746
1871	12900101010086	00990890	L	1433
1873	12900342180003	00728369	P	584
1876	12900299520003	00723599	P	1689
1895	12900262790005	00719563	L	1637
1896	129-0024965-004-1	00931320	L	6
1913	129-0008981-002-8	00696446	P	944
1916	12900109010146	00699912	L	1447
1917	12900046120024	00689556	L	1444
1918	129-0004381-005-6	00689113	L	980
1951	12900182510004	00710294	L	1435
1967	12900281060000	00721550	L	1434
1970	12900877810032	00822554	L	47
1977	12912033580	00991102	L	1149
1983	12900104600008	00699386	L	1439
1984	12900042580007	00688669	P	1706
1986	12900460390046	00895822	L	1502
1994	12900382690002	00733012	P	1024
2008	12900154620070	00950706	L	1470
2025	12900025450103	00685159	L	923
2028	12901001650120	01008463	L	1451
2033	12900006670018	00682219	L	1519
2036	12900064100007	00692200	P	1453
2039	12900041730934	00688015	L	1459
2043	12900057350023	00823259	P	2254
2054	12900536420009	00749630	P	1457
2057	12900014290262	00880626	L	1450
2057	12900014290064	00880606	L	1450
2058	12900043430020	00688947	L	1466
2067	12900596320081	00833709	L	784
2073	12900131130003	00703815	P	1496
2086	12900177910003	00709778	P	1460
2093	129-0042389-007-4	00922199	P	951
2099	12900014110015	00843566	L	1485
2104	12900055090183	00887656	L	908
2106	12900066450012	00822664	L	1484
2107	12900064100007	00692200	P	1489
2108	12900007620145	00920721	L	1692
2108	12900007620079	00920714	L	1692
2110	12900392650004	00734055	P	1492
2113	12900096420001	00697468	L	1490
2128	12900830020000	00826429	L	1294
2130	12900362770063	00730564	L	1510
2134	12900299520003	00723599	P	1506
2139	12900166700027	00708222	P	1273
2154	12900562310017	00752321	L	1021
2162	129-0002713-036-4	00907930	L	625
2165	12900140740016	00705031	L	1533
2190	129-0033739-000-5	00727819	P	868
2206	12900046890345	01011316	L	1136
2209	12900002860001	00681353	L	1528
2211	12900046790412	01033358	L	1054
2218	12900025720059	00685258	L	1671
2235	12900459560005	00741442	L	1696
2236	12900552680007	00751264	P	1529
2238	12900118440813	00940439	L	1532
2256	129-0027060-000-6	00720408	P	1541
2261	12900951650007	00855082	P	1538
2267	12900822840001	00781696	P	1285
2267	12900660850005	00766008	P	1285
2268	12900124320066	00702609	L	1065
